start,end,length
316,2819,79.46000000000001
2819,316,79.46000000000001
316,2374,88.185
2374,316,88.185
317,316,89.47200000000001
317,494,91.076
494,317,91.076
317,493,85.627
493,317,85.627
318,2376,116.334
318,183,85.425
319,318,84.17500000000001
320,41449,55.547
320,41445,92.939
321,54790,85.013
54790,321,85.013
321,2376,85.81799999999998
2376,321,85.81799999999998
321,319,112.605
321,322,398.998
322,43982,103.08
323,324,224.235
323,322,250.351
324,54938,327.719
325,1878,183.79
326,325,77.263
326,50426,145.50900000000001
327,3040,138.258
327,326,77.95300000000002
328,327,78.024
329,2348,92.983
329,328,78.373
330,329,86.75399999999999
330,50437,245.001
331,1733,43.857
1733,331,43.857
331,330,87.569
331,2537,110.94
2537,331,110.94
334,689,200.68200000000002
335,334,84.465
335,1805,139.918
336,1714,200.97
336,246,85.59100000000001
337,692,79.60600000000001
337,336,82.92500000000001
338,1970,223.091
339,338,85.596
339,697,81.77
340,1972,165.03799999999998
340,339,83.296
341,699,132.932
341,340,79.329
342,341,85.25899999999999
342,1973,120.655
344,1975,74.36
344,343,82.15
345,344,87.6
345,1679,50.291000000000004
1679,345,50.291000000000004
348,1980,66.09700000000001
348,347,80.484
350,1981,81.62599999999999
350,349,80.12400000000001
351,1387,189.839
351,350,79.02799999999999
352,1983,88.387
353,352,77.681
354,1985,104.86
356,355,78.166
357,356,93.368
357,1392,94.55799999999999
1392,357,94.55799999999999
358,357,93.59799999999998
359,1484,97.27799999999999
359,55476,13.254999999999999
361,360,111.224
362,361,35.823
363,1251,105.859
363,362,32.628
364,1766,118.563
365,2020,133.321
365,364,71.31
366,3022,129.507
366,365,13.12
367,54660,132.854
368,54450,41.757999999999996
368,45692,140.924
369,2463,163.817
370,732,139.87
732,370,139.87
371,612,116.952
371,370,69.248
372,371,70.501
372,2948,170.00199999999998
2948,372,170.00199999999998
373,52042,76.531
374,3019,176.746
374,373,77.03200000000001
375,2481,151.77100000000002
375,374,80.04599999999999
376,375,68.025
377,2070,82.33600000000001
2070,377,82.33600000000001
377,376,33.403
378,377,70.37299999999999
378,1922,80.673
379,378,120.86800000000001
379,2916,81.18599999999999
